"Eid","Ename","Experience","Total_projects","Rating","Area_of_Interest_1","Area_of_Interest_2","Area_of_Interest_3","Language1","Language2","Language3","AI_project_count","ML_project_count","JS_project_count","Java_project_count","DotNet_project_count","Mobile_project_count","Designation","Python","Machine Learning","Deep Learning","Data Analysis","Asp.Net","Ado.Net","VB.Net","C#","Java","Spring Boot","Hibernate","NLP","CV","JS","React","Node","Angular","Dart","Flutter","Vb.Net"
26,"John Trout",4,9,2.3,"Mobile","JS","AI","English","Malayalam","Tamil",3,0,4,1,1,0,"Programmer-2",1,0,0,0,1,1,0,1,1,1,1,2,2,3,3,3,3,1,1,1
27,"Roberta Barnes",11,6,0.5,"AI","Mobile","Java","English","Telugu","Japenese",2,1,1,0,1,1,"Programmer-3",1,1,1,1,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1
28,"Corinne Burnley",16,19,1.2,"Mobile","AI","Machine Learning","English","Japenese","Hindi",8,2,4,2,0,3,"Team Lead",2,2,2,2,0,0,0,1,1,1,1,3,3,1,1,1,1,4,4,0
29,"Sandra Matthews",13,13,1,"Java","JS","Machine Learning","English","Chinese","Tamil",1,3,1,2,3,3,"Deployment-1",2,2,2,2,1,1,0,1,4,4,4,1,1,3,3,3,3,1,1,1
30,"Digna Williams",19,24,1.3,"Java","AI","DotNet","English","Kannada","Malayalam",5,5,2,3,2,7,"Team Lead",1,1,1,1,2,2,0,2,4,4,4,3,3,1,1,1,1,1,1,2
31,"Anna Carmona",14,14,1,"AI","Mobile","Machine Learning","English","Malayalam","Tamil",5,2,3,2,1,1,"Deployment-2",2,2,2,2,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1
32,"George Hill",11,7,0.6,"Machine Learning","Java","AI","English","Kannada","Chinese",2,2,0,1,1,1,"Programmer-3",4,4,4,4,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1
33,"Norma Runyan",19,22,1.2,"Mobile","AI","JS","English","Tamil","Hindi",2,2,5,5,4,4,"Team Lead",1,1,1,1,1,1,0,1,1,1,1,3,3,2,2,2,2,4,4,1
34,"Sandra Mosher",13,6,0.5,"Machine Learning","DotNet","AI","English","Chinese","Hindi",2,1,1,0,1,1,"Testing and Debugging",4,4,4,4,3,3,0,3,1,0,0,2,2,1,1,1,1,1,1,3
35,"Elsie Holman",4,3,0.8,"Java","JS","DotNet","English","Kannada","Malayalam",2,0,0,1,0,0,"Programmer-3",1,0,0,0,1,1,0,1,4,4,4,1,1,1,1,1,1,0,0,1
36,"Tony Hefferon",3,7,2.3,"Mobile","Java","AI","English","Kannada","Japenese",1,3,0,1,2,0,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,2,2,1,0,0,0,1,1,1
37,"Joseph Parsons",4,6,1.5,"AI","Java","Mobile","English","Hindi","Tamil",1,1,1,2,1,0,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1
38,"Jose Buresh",18,27,1.5,"JS","AI","Mobile","English","Japenese","Telugu",7,4,4,6,4,2,"Team Lead",1,1,1,1,1,1,0,1,1,1,1,3,3,4,4,4,4,2,2,1
39,"Larry Barton",17,28,1.6,"AI","DotNet","Java","English","Malayalam","Telugu",7,5,7,5,3,1,"Project Manager",1,1,1,1,3,3,0,3,2,2,2,4,4,1,1,1,1,1,1,3
40,"Lillian Rork",15,16,1.1,"JS","AI","DotNet","English","Japenese","Chinese",5,0,2,3,2,4,"Team Lead",1,0,0,0,2,2,0,2,1,1,1,3,3,4,4,4,4,1,1,2
41,"Maria Sikes",14,8,0.6,"Machine Learning","Mobile","AI","English","Telugu","Tamil",0,1,3,1,1,2,"Programmer-3",4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1
42,"Felicia Lampe",13,12,0.9,"Mobile","AI","DotNet","English","Japenese","Kannada",6,2,1,0,1,2,"Testing and Debugging",1,1,1,1,2,2,0,2,1,0,0,3,3,1,1,1,1,4,4,2
43,"Maria Williamson",3,8,2.7,"DotNet","JS","AI","English","Chinese","Kannada",2,2,2,1,0,1,"Programmer-2",1,1,1,1,1,1,0,1,1,1,1,2,2,3,3,3,3,1,1,1
44,"Kathryn Ehrhart",24,24,1,"JS","Mobile","Machine Learning","English","Chinese","Kannada",7,2,4,4,4,3,"Deployment-1",2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1
45,"Christine Geronimo",13,18,1.4,"Java","JS","Mobile","English","Hindi","Japenese",4,3,2,4,1,4,"Team Lead",1,1,1,1,1,1,0,1,4,4,4,1,1,3,3,3,3,2,2,1
46,"Danielle Farmer",15,15,1,"Mobile","Machine Learning","AI","English","Tamil","Chinese",3,3,4,2,3,0,"Deployment-1",3,3,3,3,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1
47,"Alice Jordan",18,27,1.5,"JS","DotNet","Machine Learning","English","Telugu","Tamil",5,4,3,10,4,1,"Team Lead",2,2,2,2,3,3,0,3,1,1,1,1,1,4,4,4,4,1,1,3
48,"Donna Garza",12,6,0.5,"JS","Java","Machine Learning","English","Chinese","Telugu",0,1,1,3,1,0,"Deployment-1",2,2,2,2,1,1,0,1,3,3,3,0,0,4,4,4,4,0,0,1
49,"James Copper",14,5,0.4,"Java","JS","AI","English","Tamil","Telugu",0,0,1,0,2,2,"Testing and Debugging",1,0,0,0,1,1,0,1,1,1,1,1,1,3,3,3,3,1,1,1
50,"Melody Jones",21,15,0.7,"Java","AI","DotNet","English","Hindi","Chinese",1,6,7,0,0,1,"Deployment-2",1,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1,1,1,1,1
51,"Barbara Amick",6,10,1.7,"AI","JS","Machine Learning","English","Chinese","Telugu",2,1,2,1,4,0,"Deployment-1",2,2,2,2,1,1,0,1,1,1,1,4,4,3,3,3,3,0,0,1
52,"Melissa Montoya",16,22,1.4,"Mobile","AI","Java","English","Telugu","Malayalam",7,3,6,2,3,1,"Team Lead",1,1,1,1,1,1,0,1,2,2,2,3,3,1,1,1,1,4,4,1
53,"Samantha Vasquez",10,19,1.9,"JS","Mobile","AI","English","Malayalam","Kannada",4,7,2,2,2,2,"Team Lead",1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,3,3,1
54,"Esperanza Galletti",16,24,1.5,"AI","Mobile","DotNet","English","Kannada","Hindi",8,4,4,2,3,3,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2
55,"Leroy Smith",11,16,1.5,"AI","Java","Mobile","English","Kannada","Telugu",3,2,4,3,3,1,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,2,2,1
56,"Gertrude Curtis",4,8,2,"DotNet","Java","Machine Learning","English","Chinese","Kannada",1,4,3,0,0,0,"Programmer-2",2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
57,"Yvonne Caron",8,16,2,"Java","Mobile","AI","English","Tamil","Chinese",3,4,4,1,4,0,"Programmer-1",1,1,1,1,1,1,0,1,4,4,4,2,2,1,1,1,1,1,1,1
58,"Lisa Green",17,18,1.1,"AI","Mobile","Java","English","Kannada","Telugu",2,2,3,7,2,2,"Team Lead",1,1,1,1,1,1,0,1,2,2,2,4,4,1,1,1,1,3,3,1
59,"Clare Stockton",10,18,1.8,"JS","Java","Machine Learning","English","Japenese","Chinese",3,1,5,1,5,3,"Team Lead",2,2,2,2,1,1,0,1,3,3,3,1,1,4,4,4,4,1,1,1
60,"Candace Odum",22,24,1.1,"Machine Learning","Mobile","JS","English","Chinese","Tamil",6,3,6,4,2,3,"Team Lead",4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,3,3,1
61,"Linda Reck",6,6,1,"AI","DotNet","Mobile","English","Kannada","Hindi",3,0,0,1,1,1,"Programmer-3",1,0,0,0,3,3,0,3,1,1,1,4,4,1,0,0,0,2,2,3
62,"Sallie Jennings",6,6,1,"Mobile","Java","JS","English","Telugu","Tamil",0,3,2,0,1,0,"Programmer-3",1,1,1,1,1,1,0,1,1,1,1,0,0,2,2,2,2,1,1,1
63,"Tarsha Caines",23,19,0.8,"JS","DotNet","Mobile","English","Tamil","Kannada",3,5,3,3,2,3,"Deployment-1",1,1,1,1,3,3,0,3,1,1,1,1,1,4,4,4,4,2,2,3
64,"Wayne Johnson",5,6,1.2,"Machine Learning","AI","JS","English","Japenese","Telugu",0,2,0,1,0,3,"Programmer-2",4,4,4,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
65,"Jesusita Adams",4,8,2,"Machine Learning","DotNet","Java","English","Tamil","Hindi",0,1,3,1,1,2,"Programmer-2",4,4,4,4,3,3,0,3,2,2,2,0,0,1,1,1,1,1,1,3
66,"John Campos",10,11,1.1,"DotNet","Machine Learning","JS","English","Japenese","Malayalam",0,2,1,3,3,2,"Team Lead",3,3,3,3,4,4,0,4,1,1,1,0,0,2,2,2,2,1,1,4
67,"Tabatha Pena",17,28,1.6,"Mobile","AI","DotNet","English","Kannada","Chinese",2,7,7,5,3,4,"Project Manager",1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,4,4,2
68,"Timothy Mcpherson",14,5,0.4,"DotNet","Mobile","Java","English","Hindi","Japenese",0,0,3,1,0,1,"Deployment-2",1,0,0,0,1,1,0,1,2,2,2,0,0,1,1,1,1,3,3,1
69,"Brandon Wainwright",11,16,1.5,"DotNet","Machine Learning","JS","English","Hindi","Malayalam",4,0,4,4,2,2,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,1,1,4
70,"Bruce Ellis",14,6,0.4,"Mobile","AI","DotNet","English","Telugu","Chinese",0,0,2,3,1,0,"Deployment-1",1,0,0,0,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,2
71,"Robert Saddler",12,12,1,"AI","Mobile","JS","English","Kannada","Malayalam",3,2,4,0,0,3,"Deployment-2",1,1,1,1,0,0,0,1,1,0,0,4,4,2,2,2,2,3,3,0
72,"Cathy Brown",23,27,1.2,"AI","DotNet","Machine Learning","English","Telugu","Kannada",8,1,3,8,5,2,"Team Lead",2,2,2,2,3,3,0,3,1,1,1,4,4,1,1,1,1,1,1,3
73,"Marianne Welsh",24,21,0.9,"Java","DotNet","Machine Learning","English","Telugu","Malayalam",0,6,5,6,1,3,"Deployment-1",2,2,2,2,3,3,0,3,4,4,4,0,0,1,1,1,1,1,1,3
74,"Antonio Mcclanan",19,15,0.8,"Mobile","Java","DotNet","English","Japenese","Hindi",5,1,4,3,1,1,"Deployment-1",1,1,1,1,2,2,0,2,3,3,3,1,1,1,1,1,1,4,4,2
75,"Carol Defabio",23,26,1.1,"JS","Machine Learning","DotNet","English","Malayalam","Japenese",5,4,5,7,1,4,"Team Lead",3,3,3,3,2,2,0,2,1,1,1,1,1,4,4,4,4,1,1,2
76,"Marion Hicks",16,20,1.3,"JS","Mobile","Machine Learning","English","Tamil","Chinese",5,4,2,4,1,4,"Team Lead",2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1
77,"Brian Sparks",8,18,2.3,"Machine Learning","DotNet","Mobile","English","Malayalam","Japenese",3,1,3,3,4,4,"Programmer-1",4,4,4,4,3,3,0,3,1,1,1,1,1,1,1,1,1,2,2,3
78,"Alan Duncan",8,7,0.9,"AI","Machine Learning","Java","English","Tamil","Telugu",0,3,0,1,0,3,"Programmer-3",3,3,3,3,0,0,0,1,2,2,2,1,1,1,0,0,0,1,1,0
79,"Lloyd Lahay",14,18,1.3,"AI","Java","Mobile","English","Chinese","Japenese",2,3,5,4,1,3,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,4,4,1,1,1,1,2,2,1
80,"Melissa Cruz",2,6,3,"AI","Java","JS","English","Hindi","Malayalam",2,2,0,2,0,0,"Programmer-2",1,1,1,1,0,0,0,1,3,3,3,4,4,1,1,1,1,0,0,0
81,"Patrick Scavone",17,26,1.5,"AI","Machine Learning","JS","English","Telugu","Kannada",5,4,4,3,6,4,"Project Manager",3,3,3,3,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1
82,"Barrie Cosgrove",4,3,0.8,"JS","AI","Java","English","Tamil","Malayalam",0,2,0,1,0,0,"Programmer-3",1,1,1,1,0,0,0,1,2,2,2,1,1,1,1,1,1,0,0,0
83,"Judy Minton",17,24,1.4,"AI","Machine Learning","DotNet","English","Hindi","Chinese",5,2,2,7,5,3,"Team Lead",3,3,3,3,2,2,0,2,1,1,1,4,4,1,1,1,1,1,1,2
84,"Jose Durrant",5,3,0.6,"Machine Learning","Java","AI","English","Japenese","Telugu",1,0,2,0,0,0,"Programmer-3",1,1,1,1,0,0,0,1,1,1,1,2,2,1,1,1,1,0,0,0
85,"Rebecca Marlow",9,18,2,"Mobile","Java","AI","English","Chinese","Telugu",4,6,3,3,1,1,"Team Lead",1,1,1,1,1,1,0,1,3,3,3,2,2,1,1,1,1,4,4,1
86,"Nancy Jackson",19,28,1.5,"Java","DotNet","JS","English","Malayalam","Hindi",5,2,0,10,6,5,"Team Lead",1,1,1,1,3,3,0,3,4,4,4,1,1,1,1,1,1,1,1,3
87,"Kenneth Heyne",7,6,0.9,"Java","DotNet","JS","English","Japenese","Chinese",3,1,1,0,1,0,"Programmer-3",1,1,1,1,3,3,0,3,1,1,1,1,1,2,2,2,2,0,0,3
88,"Kathryn Cottrell",14,10,0.7,"JS","Java","Machine Learning","English","Chinese","Tamil",2,1,3,3,1,0,"Deployment-1",2,2,2,2,1,1,0,1,3,3,3,1,1,4,4,4,4,0,0,1
89,"Candace Robinson",17,17,1,"AI","Machine Learning","Java","English","Tamil","Japenese",1,0,5,4,4,3,"Deployment-1",1,1,1,1,1,1,0,1,2,2,2,4,4,1,1,1,1,1,1,1
90,"Sarah Burkley",22,21,1,"JS","Machine Learning","Mobile","English","Kannada","Japenese",1,3,5,6,2,4,"Deployment-1",3,3,3,3,1,1,0,1,1,1,1,1,1,4,4,4,4,2,2,1
91,"William Hawkins",17,16,0.9,"Java","JS","Machine Learning","English","Hindi","Tamil",3,3,3,3,2,2,"Deployment-1",2,2,2,2,1,1,0,1,4,4,4,1,1,3,3,3,3,1,1,1
92,"Dominick Cruz",22,18,0.8,"AI","Machine Learning","JS","English","Kannada","Malayalam",2,1,3,4,4,4,"Deployment-1",3,3,3,3,1,1,0,1,1,1,1,4,4,2,2,2,2,1,1,1
93,"Jerry Parkinson",21,24,1.1,"JS","AI","Java","English","Malayalam","Japenese",3,6,5,3,3,4,"Team Lead",1,1,1,1,1,1,0,1,2,2,2,3,3,4,4,4,4,1,1,1
94,"William Wolf",9,15,1.7,"DotNet","Mobile","JS","English","Chinese","Kannada",3,2,3,4,2,1,"Team Lead",1,1,1,1,4,4,0,4,1,1,1,1,1,2,2,2,2,3,3,4
95,"Charles Braxton",24,17,0.7,"DotNet","AI","Machine Learning","English","Malayalam","Kannada",3,4,2,3,3,2,"Deployment-1",2,2,2,2,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4
96,"Diane Williams",7,9,1.3,"JS","DotNet","Machine Learning","English","Tamil","Kannada",1,2,2,1,0,3,"Programmer-2",2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,1,1,1
97,"Sarah Wilson",4,9,2.3,"AI","JS","Machine Learning","English","Kannada","Malayalam",4,1,1,0,1,2,"Programmer-2",2,2,2,2,1,1,0,1,1,0,0,4,4,3,3,3,3,1,1,1
98,"Erika Brown",9,13,1.4,"AI","JS","Mobile","English","Malayalam","Kannada",3,3,3,2,0,2,"Team Lead",1,1,1,1,0,0,0,1,1,1,1,4,4,3,3,3,3,2,2,0
99,"Paul Ortiz",13,19,1.5,"Mobile","AI","Java","English","Japenese","Hindi",7,5,2,1,1,3,"Team Lead",1,1,1,1,1,1,0,1,2,2,2,3,3,1,1,1,1,4,4,1
100,"Suzanne Devoe",19,29,1.5,"Mobile","DotNet","Java","English","Tamil","Telugu",5,7,6,2,1,8,"Project Manager",1,1,1,1,3,3,0,3,2,2,2,1,1,1,1,1,1,4,4,3
101,"George Carbaugh",14,16,1.1,"Machine Learning","Java","Mobile","English","Kannada","Telugu",3,1,2,3,5,2,"Team Lead",4,4,4,4,1,1,0,1,3,3,3,1,1,1,1,1,1,2,2,1
102,"Scott Alexander",17,23,1.4,"Java","AI","Mobile","English","Chinese","Japenese",4,5,2,3,5,4,"Team Lead",1,1,1,1,1,1,0,1,4,4,4,3,3,1,1,1,1,2,2,1
103,"Eric Keister",19,16,0.8,"Java","AI","DotNet","English","Chinese","Malayalam",5,4,2,3,0,2,"Deployment-1",1,1,1,1,1,1,0,1,4,4,4,3,3,1,1,1,1,1,1,1
104,"Ben Osler",5,4,0.8,"Mobile","Machine Learning","DotNet","English","Japenese","Telugu",3,1,0,0,0,0,"Programmer-3",3,3,3,3,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1
105,"Anthony Roe",19,23,1.2,"AI","Mobile","DotNet","English","Chinese","Malayalam",2,2,8,5,5,1,"Team Lead",1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2
106,"Sue Bonn",14,12,0.9,"Mobile","AI","DotNet","English","Telugu","Japenese",3,2,2,2,3,0,"Deployment-1",1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,1,1,2
107,"Ila Emberling",19,15,0.8,"Machine Learning","JS","DotNet","English","Kannada","Japenese",2,3,2,4,3,1,"Deployment-1",4,4,4,4,2,2,0,2,1,1,1,1,1,3,3,3,3,1,1,2
108,"Douglas Harrington",4,5,1.3,"JS","Java","DotNet","English","Telugu","Chinese",1,1,0,1,0,2,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1
109,"Francis Pounds",13,16,1.2,"Java","JS","AI","English","Kannada","Tamil",4,2,3,4,3,0,"Team Lead",1,1,1,1,1,1,0,1,4,4,4,2,2,3,3,3,3,0,0,1
110,"James Sachs",15,17,1.1,"Machine Learning","AI","JS","English","Malayalam","Tamil",4,2,2,2,5,2,"Team Lead",4,4,4,4,1,1,0,1,1,1,1,3,3,2,2,2,2,1,1,1
111,"Iris Meier",19,18,0.9,"Mobile","AI","DotNet","English","Japenese","Chinese",2,3,4,1,3,5,"Deployment-1",1,1,1,1,2,2,0,2,1,1,1,3,3,1,1,1,1,4,4,2
112,"Mary Page",7,16,2.3,"Mobile","Java","DotNet","English","Japenese","Hindi",1,4,2,0,4,5,"Programmer-1",1,1,1,1,2,2,0,2,1,1,1,1,1,1,1,1,1,4,4,2
113,"Norma Lewis",10,19,1.9,"AI","Java","Machine Learning","English","Japenese","Kannada",4,4,2,1,3,5,"Team Lead",2,2,2,2,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1
114,"Kimberly Lozano",2,4,2,"AI","Mobile","Java","English","Chinese","Japenese",2,0,2,0,0,0,"Programmer-2",1,0,0,0,0,0,0,1,1,1,1,4,4,1,1,1,1,1,1,0
115,"Leo Pagan",7,18,2.6,"DotNet","Mobile","Machine Learning","English","Chinese","Malayalam",4,4,4,1,3,2,"Programmer-1",2,2,2,2,4,4,0,4,1,1,1,1,1,1,1,1,1,3,3,4
116,"Rosalyn Garden",12,6,0.5,"Machine Learning","DotNet","Mobile","English","Kannada","Tamil",2,2,0,0,1,1,"Testing and Debugging",4,4,4,4,3,3,0,3,1,0,0,1,1,1,0,0,0,2,2,3
117,"Violet Fisher",22,18,0.8,"Mobile","Machine Learning","Java","English","Tamil","Telugu",4,3,2,1,5,3,"Deployment-1",3,3,3,3,1,1,0,1,2,2,2,1,1,1,1,1,1,4,4,1
118,"Floyd Fernandez",18,17,0.9,"JS","Mobile","Machine Learning","English","Japenese","Hindi",3,3,2,3,3,3,"Deployment-1",2,2,2,2,1,1,0,1,1,1,1,1,1,4,4,4,4,3,3,1
119,"Linda Leung",3,5,1.7,"Mobile","Java","DotNet","English","Malayalam","Telugu",0,1,1,1,0,2,"Programmer-2",1,1,1,1,1,1,0,1,3,3,3,0,0,1,1,1,1,4,4,1
120,"David Rankin",24,16,0.7,"Mobile","JS","Machine Learning","English","Kannada","Japenese",4,3,0,3,3,3,"Deployment-1",2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,1
121,"Melvin Gutierrez",11,8,0.7,"JS","Machine Learning","Mobile","English","Tamil","Hindi",1,3,0,2,2,0,"Programmer-3",3,3,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
122,"Andrea Christensen",6,13,2.2,"DotNet","Mobile","Machine Learning","English","Malayalam","Telugu",3,1,1,4,0,4,"Programmer-1",2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1
123,"Laura Bosco",14,9,0.6,"Machine Learning","Mobile","JS","English","Kannada","Hindi",4,1,1,1,2,0,"Programmer-3",4,4,4,4,1,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1
124,"Robert Harrison",16,15,0.9,"DotNet","Mobile","Java","English","Malayalam","Chinese",1,2,3,4,0,5,"Deployment-1",1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,3,3,1
125,"Patricia Parks",4,2,0.5,"Machine Learning","AI","Mobile","English","Malayalam","Kannada",0,2,0,0,0,0,"Testing and Debugging",4,4,4,4,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0
126,"Johnna Haag",18,18,1,"JS","Java","Mobile","English","Kannada","Hindi",3,5,3,5,1,1,"Deployment-1",1,1,1,1,1,1,0,1,3,3,3,1,1,4,4,4,4,2,2,1
127,"Marcy Martin",20,19,1,"DotNet","JS","Machine Learning","English","Hindi","Malayalam",4,4,0,5,5,1,"Deployment-1",2,2,2,2,4,4,0,4,1,1,1,1,1,1,1,1,1,1,1,4
128,"Mary Vaughan",21,21,1,"Machine Learning","AI","Java","English","Chinese","Hindi",4,3,5,2,5,2,"Deployment-1",4,4,4,4,1,1,0,1,2,2,2,3,3,1,1,1,1,1,1,1
129,"Michael Flatt",6,16,2.7,"Java","Machine Learning","Mobile","English","Tamil","Chinese",2,2,3,3,3,3,"Programmer-1",3,3,3,3,1,1,0,1,4,4,4,1,1,1,1,1,1,2,2,1
